Do not hire a man who does your work for money, but him who does it for love of it.;Henry David Thoreau;love
I design my shots. I walk the rehearsal as the camera and say 'this is where I want to be... I want this look.;Debbie Allen;design
An education isn't how much you have committed to memory, or even how much you know. It's being able to differentiate between what you know and what you don't.;Anatole France;education
I like somebody who's not so crazy but likes to have a good time... and who is thoughtful and kind and easy to laugh with. Somebody you can just be yourself with one hundred and fifty percent.;Kate Bosworth;time
Nine-tenths of wisdom is being wise in time.;Theodore Roosevelt;time
To live a creative life, we must lose our fear of being wrong.;Joseph Chilton Pearce;fear
Honestly, I'd love to be remembered as one of the best to ever pick up a mic, but if I'm doing my part to lessen some racial tension I feel good about what I'm doing.;Eminem;best
Propaganda must appeal to mankind's better judgment and to the necessary belief in a better future. For this belief, the valley of the shadow of death is but a war station on the road to the blessed summit.;Christian Lous Lange;future
Cut quarrels out of literature, and you will have very little history or drama or fiction or epic poetry left.;Robert Staughton Lynd;poetry
I think that gay marriage should be between a man and a woman.;Arnold Schwarzenegger;marriage
I think the hardest thing about making music now is being a great dad at the same time. There's an insanity that goes with writing - a mad scientist thing that you have to go through - and sacrificing a kid's upbringing to do that is not an option.;Eddie Vedder;dad
Leadership offers an opportunity to make a difference in someone's life, no matter what the project.;Bill Owens;leadership
I have not lost faith in God. I have moments of anger and protest. Sometimes I've been closer to him for that reason.;Elie Wiesel;faith
I am looking forward to learning at the knee of Paul Ryan. He doesn't strike me as a politician. He strikes me as an economist.;Todd Rokita;learning
Freedom requires no effort to enjoy but requires heroic efforts to preserve.;Richard G. Scott;freedom
I really like science because it seems to be that place where you get the big picture, everything connects.;Richard Powers;science
An attitude to life which seeks fulfillment in the single-minded pursuit of wealth - in short, materialism - does not fit into this world, because it contains within itself no limiting principle, while the environment in which it is placed is strictly limited.;E. F. Schumacher;attitude
As a pastor, you get invited into the most poignant moments of people's lives. Whether it's a wedding or a funeral or a hospital visit, you get invited into the center of the event, whether or not you know the people.;Rob Bell;wedding
Improving our national intelligence capabilities should remain a top priority and a continual process.;Blanche Lincoln;intelligence
For the past 33 years, I have looked in the mirror every morning and asked myself: 'If today were the last day of my life, would I want to do what I am about to do today?' And whenever the answer has been 'No' for too many days in a row, I know I need to change something.;Steve Jobs;morning
There's no truth anymore.;Johnny Depp;truth
Somebody informed me recently that the key to every art, from writing to gardening to sculpture, is creativity. I beg to differ.;Roy Blount, Jr.;gardening
You know, the interesting thing about having traveled around the country as much as I have, and I think it's sort of inadvertently what made me come out or at least begin doing things within the community and thinking more about that, was that I get to travel quite a bit.;Lesley Gore;travel
No one succeeds without effort... Those who succeed owe their success to perseverance.;Ramana Maharshi;success
Rank does not confer privilege or give power. It imposes responsibility.;Peter Drucker;power
September 11th was a moment when America had the sympathy of the world.;Tom Ford;sympathy
In addition to removing our democratically elected government, Israel wants to sow dissent among Palestinians by claiming that there is a serious leadership rivalry among us. I am compelled to dispel this notion definitively.;Ismail Haniyeh;leadership
When I got to France I realized I didn't know very much about food at all. I'd never had a real cake. I'd had those cakes from cake mixes or the ones that have a lot of baking powder in them. A really good French cake doesn't have anything like that in it - it's all egg power.;Julia Child;food
We need to think of the future and the planet we are going to leave to our children and their children.;Kofi Annan;future
As I go to sleep I remember what my father said-that one can never be sure if one will awake. The way my health is now, this is becoming more and more real.;Jerzy Kosinski;health
Early on, if I was alone two three nights in a row, I'd start writing poems about suicide.;Jack Nicholson;alone
I have the most respect for Zach Woodlee. He is one of my favorite - and one of the most capable - choreographers out there right now.;Harry Shum, Jr.;respect
I think I can make an entirely new game experience, and if I can't do it, some other game designer will.;Shigeru Miyamoto;experience
And what we're doing in Ohio is we're moving from a basic manufacturing economy to one that's diversified, including energy and health care and agriculture and IT.;John Kasich;health
I think there are certain folks in Missouri that don't trust government. And they haven't trusted government for a long time.;Claire McCaskill;government
You can find women who have never had an affair, but it is hard to find a woman who has had just one.;Francois de La Rochefoucauld;women
People always ask me if I could live in any other era what would it be, and I tell them none! I feel so lucky to live in an age where technology has changed and continues to change and make life so much more exciting. It keeps everyone young and constantly learning new things.;Nina Garcia;technology
We managed to put together a compilation that had some creativity to it. In the meantime I was listening to the free radio stations and I noticed that during their war coverage they were playing these songs born out of the Vietnam War that were all critical of the soldiers.;Joni Mitchell;war
The cool kindliness of sheets, that soon smooth away trouble and the rough male kiss of blankets.;Rupert Brooke;cool
Never be discouraged. If I were sunk in the lowest pits of Nova Scotia, with the Rocky Mountains piled on me, I would hang on, exercise faith, and keep up good courage, and I would come out on top.;Joseph Smith, Jr.;good
Wisdom consists of the anticipation of consequences.;Norman Cousins;wisdom
I'm not really religious but very spiritual. I give money to this company that manufactures hearing aids on a regular basis. More people should really hear me sing. I have a gift from God.;Christina Aguilera;god
If you do not feel yourself growing in your work and your life broadening and deepening, if your task is not a perpetual tonic to you, you have not found your place.;Orison Swett Marden;work
The control of information is something the elite always does, particularly in a despotic form of government. Information, knowledge, is power. If you can control information, you can control people.;Tom Clancy;power
My mom loved to sing - and I'll go on record and say she was the worst singer ever. I'd get up and move away from her!;Kenny Rogers;mom
The truth is, I've never fooled anyone. I've let men sometimes fool themselves.;Marilyn Monroe;men
I used to work a lot on food issues and every time somebody predicted that production would be inadequate they got egg on their face a year or two later.;Susan George;food
If someone thinks that love and peace is a cliche that must have been left behind in the Sixties, that's his problem. Love and peace are eternal.;John Lennon;peace
I don't have any romantic ideas about marriage. Trust me. A white dress... ? No. It's not something for me.;Diane Kruger;marriage
Hell, I never vote for anybody, I always vote against.;W. C. Fields;politics
Like success, failure is many things to many people. With Positive Mental Attitude, failure is a learning experience, a rung on the ladder, a plateau at which to get your thoughts in order and prepare to try again.;W. Clement Stone;attitude
Just because you've made a couple movies, you've done some good movies, you've been nominated for some Academy Awards, whatever, nobody's entitled. It's a business. If they don't see it, I can think they're wrong, but I'm not entitled to a $15 million budget to make a film.;Edward Norton;business
In human history, the desire for revenge and the desire for loot have often been closely associated.;John McCarthy;history
Statistically and emotionally, I believe that the way I can be of help to society is by doing what I know and what I've been good at.;Tom Peters;society
It takes bravery to end a relationship.;Leona Lewis;relationship
I quit doing the movies because the wrestling was going so good and was so on fire during the '80s and '90s, but I was getting all these movie scripts.;Hulk Hogan;movies
I can't not find humor in elements of most parts of life, but at the same time nothing ever seems perpetually funny to me.;Greg Kinnear;funny
Now, having had this experience, I can't say really what they were looking for. I don't know their minds. But every time I see a reality show, it seems that the most entertaining parts on other reality shows are when they make their guests look foolish.;Liza Minnelli;experience
I didn't always want to be a dad.;Liam Gallagher;dad
I grew up not really having anything, so the idea that I can take care of my family and my friends now is a really cool bonus.;Katy Perry;family
I've been acting my whole life. I have this huge imagination! I'm a dancer and my mom's a dance teacher, and I was always performing and entertaining people. I'd go to see live theatre or a movie, and I'd become the main character for a few days afterwards. I loved being somebody new for a temporary amount of time.;Natasha Calis;mom
I've always taught that a poor economy is the best opportunity for salespeople because the naysayers and grumblers have already given up, leaving more territory, more opportunities to be successful than in a good economy when virtually all salespeople are out there, giving it their best.;Zig Ziglar;best
It's fine to celebrate success but it is more important to heed the lessons of failure.;Bill Gates;success
You've got to have a dream... if you don't have any big dreams, nothing happens.;Ian Rush;dreams
